,State,Population
1497,MI,28468
1498,MI,28433
1499,CA,28430
1500,NC,28419
1501,NY,28365
1502,CA,28335
1503,NJ,28321
1504,IN,28310
1505,MN,28303
1506,MO,28284
1507,CT,28273
1508,HI,28219
1509,NY,28218
1510,OH,28215
1511,TX,28177
1512,IL,28170
1513,TX,28164
1514,KS,28151
1515,TX,28130
1516,PA,28127
1517,HI,28121
1518,VA,28120
1519,CT,28115
1520,SC,28106
1521,MS,28100
1522,MA,28087
1523,CA,28065
1524,NJ,28061
1525,WA,28013
1526,UT,27993
1527,VA,27982
1528,KY,27981
1529,CA,27959
1530,OR,27942
1531,MI,27938
1532,CT,27923
1533,NJ,27830
1534,MN,27810
1535,KS,27788
1536,PA,27754
1537,MS,27747
1538,IL,27740
1539,WI,27732
1540,RI,27732
1541,SC,27716
1542,MI,27710
1543,TX,27685
1544,FL,27678
1545,NJ,27672
1546,MN,27646
1547,CA,27627
1548,MN,27617
1549,IA,27591
1550,TX,27577
1551,NY,27551
1552,IL,27549
1553,NJ,27491
1554,NJ,27484
1555,IL,27480
1556,IL,27478
1557,OH,27475
1558,TX,27466
1559,AL,27462
1560,MI,27380
1561,OR,27373
1562,CT,27367
1563,IA,27338
1564,WI,27319
1565,CT,27298
1566,MA,27295
1567,NJ,27263
1568,IL,27252
1569,OH,27232
1570,IL,27214
1571,NC,27183
1572,CT,27173
1573,NC,27156
1574,NY,27148
1575,TN,27147
1576,PA,27144
1577,NE,27141
1578,CT,27141
1579,KY,27137
1580,IL,27135
1581,FL,27134
1582,CA,27131
1583,MS,27115
1584,TX,27103
1585,TX,27098
1586,MA,27090
1587,MO,27063
1588,WV,27052
1589,CA,27047
1590,CA,27038
1591,FL,27000
1592,CA,26943
1593,MN,26921
1594,CT,26918
1595,NJ,26903
1596,FL,26890
1597,NY,26866
1598,IL,26850
1599,GA,26830
1600,PA,26814
1601,IL,26808
1602,AZ,26785
1603,UT,26777
1604,WI,26751
1605,GA,26738
1606,MS,26736
1607,CT,26712
1608,NJ,26698
1609,FL,26690
1610,FL,26669
1611,OR,26664
1612,NH,26632
1613,CA,26617
1614,MI,26582
1615,AR,26569
1616,NJ,26525
1617,NY,26523
1618,CA,26512
1619,NJ,26504
1620,ME,26498
1621,NC,26450
1622,NC,26449
1623,FL,26444
